name,address,经度,纬度,Serise_X,Serise_Y,
八卦洲大桥南,1,118.842255,32.145568,57.25623583,81.81818182,
笆斗山,1,118.829597,32.143424,54.42176871,81.49350649,
燕子矶,1,118.821914,32.136112,52.83446712,80.3030303,
吉祥庵,1,118.821339,32.126634,51.24716553,78.78787879,
晓庄,1,118.818517,32.117229,49.31972789,77.05627706,
迈皋桥,1,118.809677,32.102712,47.27891156,75.21645022,
红山动物园,1,118.802053,32.095774,45.23809524,73.37662338,
南京站,1,118.796509,32.089322,42.74376417,71.1038961,
新模范马路,1,118.783714,32.079871,41.38321995,69.6969697,
玄武门,1,118.784221,32.070381,40.47619048,68.3982684,
鼓楼,1,118.783701,32.058667,40.47619048,66.99134199,
珠江路,1,118.784208,32.050974,40.36281179,61.9047619,
新街口,1,118.783701,32.058667,40.36281179,58.00865801,
张府园,1,118.783837,32.030966,40.36281179,55.51948052,
三山街,1,118.781583,32.023021,40.36281179,52.70562771,
中华门,1,118.774447,32.006748,40.47619048,48.16017316,
安德门,1,118.762136,31.990862,40.47619048,44.58874459,
天隆寺,1,118.763131,31.979272,41.49659864,43.3982684,
软件大道,1,118.780883,31.992722,42.74376417,42.20779221,
花神庙,1,118.785648,31.977795,43.87755102,41.23376623,
南京南站,1,118.796894,31.971094,45.23809524,39.93506494,
双龙大道,1,118.817196,31.963833,46.82539683,38.31168831,
河定桥,1,118.820141,31.952092,48.18594104,37.22943723,
胜太路,1,118.821393,31.943549,50.22675737,35.28138528,
百家湖,1,118.820843,31.931941,52.60770975,33.00865801,
小龙湾,1,118.832734,31.929735,55.10204082,30.62770563,
竹山路,1,118.845709,31.931865,58.61678005,27.38095238,
天印大道,1,118.863561,31.937638,60.20408163,25.75757576,
龙眠大道,1,118.877156,31.939902,62.47165533,23.7012987,
南医大·江苏经贸学院站,1,118.890239,31.933475,64.73922902,21.64502165,
南京交院,1,118.904804,31.91286,66.89342404,19.58874459,
中国药科大学,1,118.914127,31.897684,69.04761905,17.64069264,
经天路,2,118.976654,32.116151,81.97278912,80.62770563,
南大仙林校区,2,118.95951,32.108763,80.15873016,78.8961039,
羊山公园,2,118.939971,32.1038,78.91156463,77.70562771,
仙林中心,2,118.930412,32.098663,76.98412698,75.97402597,
学则路,2,118.916778,32.09128,75.3968254,74.45887446,
仙鹤门,2,118.904914,32.084911,74.03628118,73.16017316,
金马路,2,118.906302,32.071737,72.33560091,71.64502165,
马群,2,118.894721,32.049649,70.06802721,69.6969697,
钟灵街,2,118.869395,32.039146,67.57369615,67.31601732,
孝陵卫,2,118.858058,32.035416,64.62585034,64.61038961,
下马坊,2,118.848373,32.037578,59.63718821,62.55411255,
苜蓿园,2,118.83531,32.040239,54.08163265,62.55411255,
明故宫,2,118.819746,32.039218,49.09297052,61.36363636,
西安门,2,118.805761,32.040108,47.61904762,59.84848485,
新街口,2,118.783701,32.058667,45.23809524,58.11688312,
大行宫,2,118.794787,32.041737,40.36281179,58.00865801,
上海路,2,118.783701,32.058667,35.48752834,58.11688312,
汉中门,2,118.76708,32.042725,29.8185941,57.25108225,
莫愁湖,2,118.758964,32.037306,26.19047619,53.46320346,
云锦路,2,118.747323,32.034912,26.19047619,52.05627706,
集庆门大街,2,118.75473,32.024423,26.19047619,50.32467532,
兴隆大街,2,118.736465,32.015197,26.19047619,48.59307359,
奥体东,2,118.729086,32.005077,26.19047619,46.96969697,
元通,2,118.721449,31.995471,26.19047619,44.48051948,
雨润大街,2,118.722613,31.983679,27.43764172,43.07359307,
油坊桥,2,118.721361,31.966454,30.38548753,39.93506494,
螺塘路,2,118.7017,31.961404,25.96371882,34.09090909,
青莲街,2,118.691716,31.962351,24.6031746,33.87445887,
天保街,2,118.678564,31.965968,21.76870748,33.87445887,
鱼嘴,2,118.669853,31.96673,19.95464853,33.87445887,
林场,3,118.671334,32.163563,17.80045351,92.64069264,
星火路,3,118.696577,32.157273,21.42857143,90.8008658,
东大成贤学院,3,118.707888,32.156266,23.46938776,88.96103896,
泰冯路,3,118.718931,32.153441,27.09750567,85.60606061,
天润城,3,118.734078,32.150854,28.57142857,84.1991342,
柳洲东路,3,118.746237,32.139965,30.72562358,82.25108225,
上元门,3,118.769921,32.115468,35.37414966,77.92207792,
五塘广场,3,118.777688,32.1105,37.75510204,75.86580087,
小市,3,118.785737,32.094998,39.90929705,73.7012987,
南京站,3,118.796509,32.089322,42.74376417,71.1038961,
南京林业大学·新庄,3,118.810435,32.076463,44.7845805,69.26406926,
鸡鸣寺,3,118.798082,32.057266,45.23809524,67.0995671,
浮桥,3,118.796107,32.04866,45.23809524,61.7965368,
大行宫,3,118.794787,32.041737,45.23809524,58.11688312,
常府街,3,118.792317,32.033401,45.23809524,55.41125541,
夫子庙,3,118.790911,32.024119,45.23809524,53.13852814,
武定门,3,118.794632,32.013747,45.23809524,51.19047619,
雨花门,3,118.792454,32.003779,45.23809524,49.35064935,
卡子门,3,118.795514,31.995041,45.23809524,47.4025974,
大明路,3,118.799624,31.986114,45.23809524,45.02164502,
明发广场,3,118.800512,31.97705,45.23809524,42.64069264,
南京南站,3,118.796894,31.971094,45.23809524,39.93506494,
宏运大道,3,118.804067,31.959019,45.23809524,36.36363636,
胜太西路,3,118.807434,31.943772,45.23809524,34.41558442,
天元西路,3,118.808591,31.927697,45.23809524,32.35930736,
九龙湖,3,118.821263,31.915939,45.23809524,29.54545455,
诚信大道,3,118.831717,31.909256,45.23809524,26.40692641,
东大九龙湖校区,3,118.83045,31.896037,45.23809524,23.05194805,
秣周东路,3,118.831022,31.868977,45.23809524,20.23809524,
龙江,4,118.73805,32.057926,26.98412698,68.29004329,
南艺·二师·草场,4,118.754231,32.06008,30.72562358,67.20779221,
云南路,4,118.774679,32.059117,36.84807256,67.20779221,
鼓楼,4,118.783701,32.058667,40.47619048,67.0995671,
鸡鸣寺,4,118.798082,32.057266,45.23809524,67.0995671,
云南路,4,118.774679,32.059117,48.86621315,67.0995671,
九华山,4,118.806,32.057314,52.15419501,67.20779221,
岗子村,4,118.815835,32.065571,56.23582766,68.18181818,
蒋王庙,4,118.831148,32.077536,58.84353741,70.56277056,
王家湾,4,118.837855,32.085238,61.79138322,71.64502165,
聚宝山,4,118.864212,32.093858,66.66666667,71.64502165,
苏宁总部·徐庄,4,118.888192,32.089503,72.33560091,71.64502165,
汇通路,4,118.931631,32.078018,76.19047619,71.64502165,
灵山,4,118.943672,32.077698,80.15873016,72.07792208,
东流,4,118.964224,32.077173,82.99319728,74.45887446,
孟北,4,118.98724,32.084468,84.92063492,76.2987013,
西岗桦墅,4,118.996482,32.098965,87.3015873,78.35497835,
仙林湖,4,118.992658,32.125509,89.68253968,80.73593074,
仙新路,7,118.901908,32.133074,69.50113379,77.05627706,
尧化门,7,118.89429,32.128793,66.09977324,77.05627706,
尧化新村,7,118.875715,32.115239,62.58503401,77.05627706,
丁家庄南,7,118.859908,32.107659,59.18367347,77.05627706,
丁家庄,7,118.849892,32.111546,55.89569161,77.05627706,
万寿,7,118.834652,32.119539,52.60770975,77.05627706,
晓庄,7,118.818517,32.117229,49.31972789,77.05627706,
幕府山,7,118.798662,32.114303,42.63038549,77.05627706,
五塘广场,7,118.784102,32.116719,37.75510204,75.86580087,
幕府西路,7,118.771274,32.105533,36.28117914,74.67532468,
钟阜路,7,118.771912,32.09222,34.58049887,73.37662338,
福建路,7,118.759615,32.080126,32.76643991,71.96969697,
古平岗,7,118.757933,32.071226,31.17913832,70.67099567,
南艺·二师·草场,7,118.754231,32.06008,30.72562358,67.20779221,
清凉山,7,118.760168,32.048316,30.72562358,61.7965368,
莫愁湖,7,118.758964,32.037306,26.19047619,53.46320346,
大市茶亭,7,118.757333,32.031757,27.77777778,52.05627706,
南湖,7,118.754317,32.023787,29.25170068,50.64935065,
应天大街,7,118.749161,32.016428,30.49886621,48.91774892,
梦都大街东,7,118.746448,32.003936,30.6122449,47.51082251,
新城科技园,7,118.738239,31.993694,30.6122449,45.995671,
中胜,7,118.73317,31.987911,30.6122449,44.48051948,
嘉陵江东街,7,118.727853,31.982159,29.36507937,42.96536797,
永初路,7,118.712185,31.974264,26.41723356,39.93506494,
太清路,7,118.703159,31.966395,25.96371882,37.55411255,
螺塘路,7,118.7017,31.961404,25.96371882,33.98268398,
西善桥,7,118.690861,31.947161,25.85034014,31.38528139,
安德门,10,118.762136,31.990862,40.47619048,44.58874459,
小行,10,118.780883,31.992722,36.73469388,44.48051948,
中胜,10,118.73317,31.987911,30.6122449,44.48051948,
元通,10,118.721449,31.995471,26.19047619,44.48051948,
奥体中心,10,118.718286,32.009065,23.24263039,45.45454545,
梦都大街,10,118.721781,32.015473,23.35600907,51.83982684,
绿博园,10,118.716735,32.024161,21.42857143,58.22510823,
江心洲,10,118.703335,32.031632,17.68707483,58.11688312,
临江路,10,118.680331,32.079095,13.26530612,58.11688312,
浦口万汇城,10,118.657082,32.061689,8.163265306,58.11688312,
南京工业大学,10,118.648245,32.066794,3.287981859,58.11688312,
龙华路,10,118.635204,32.064712,1.473922902,55.41125541,
文德路,10,118.626645,32.057396,1.473922902,50.97402597,
雨山路,10,118.615125,32.044496,1.473922902,46.96969697,
南京南站,S1,118.796894,31.971094,45.23809524,39.93506494,
翠屏山,S1,118.784514,31.94253,40.70294785,34.95670996,
佛城西路,S1,118.791365,31.914086,40.70294785,30.51948052,
吉印大道,S1,118.795507,31.886166,40.70294785,26.40692641,
正方中路,S1,118.805809,31.845115,40.47619048,22.07792208,
翔宇路北,S1,118.821542,31.791284,40.58956916,18.3982684,
翔宇路南,S1,118.829201,31.754866,40.58956916,14.5021645,
禄口机场,S1,118.873817,31.73037,45.23809524,13.63636364,
空港新城江宁,S1,118.887659,31.737687,49.09297052,13.63636364,
高家冲,S3,118.517253,31.909242,8.73015873,5.844155844,
林山,S3,118.531084,31.918826,8.73015873,9.632034632,
桥林新城,S3,118.547446,31.929882,8.73015873,13.31168831,
石碛河,S3,118.558049,31.938032,8.73015873,17.0995671,
双垅,S3,118.567483,31.948288,8.73015873,20.67099567,
兰花塘,S3,118.574859,31.95826,8.73015873,24.45887446,
马骡圩,S3,118.58838,31.97315,8.73015873,28.24675325,
刘村,S3,118.665113,31.944342,19.04761905,31.38528139,
天保,S3,118.67741,31.953164,23.24263039,32.79220779,
高庙路,S3,118.688338,31.968334,23.24263039,34.74025974,
吴侯街,S3,118.693035,31.975465,23.24263039,36.58008658,
平良大街,S3,118.702696,31.97783,23.24263039,38.63636364,
永初路,S3,118.712185,31.974264,26.41723356,39.93506494,
油坊桥,S3,118.721361,31.966454,30.38548753,39.93506494,
贾西,S3,118.734119,31.959242,32.99319728,39.93506494,
春江路,S3,118.748257,31.962385,35.48752834,39.93506494,
铁心桥,S3,118.780883,31.992722,38.43537415,39.93506494,
景明佳园,S3,118.77869,31.962302,41.49659864,39.93506494,
南京南站,S3,118.796894,31.971094,45.23809524,39.93506494,
马群,S6,118.894721,32.049649,70.06802721,69.6969697,
百水桥,S6,118.915069,32.053407,72.22222222,69.48051948,
麒麟门,S6,118.928506,32.053061,74.94331066,69.48051948,
东郊小镇,S6,118.952496,32.051792,77.89115646,69.48051948,
古泉,S6,119.009178,32.049302,80.72562358,69.48051948,
猿人洞,S6,119.052783,32.06142,83.5600907,69.48051948,
汤山,S6,119.067994,32.048019,86.39455782,69.48051948,
泉都大街,S6,119.05207,32.033838,89.22902494,69.48051948,
黄梅,S6,119.115152,32.010309,92.06349206,68.18181818,
童世界,S6,119.170121,31.998074,94.67120181,66.88311688,
华阳,S6,119.186782,31.978643,96.37188209,66.88311688,
崇明,S6,119.18525,31.949757,98.07256236,66.88311688,
句容,S6,119.176287,31.928595,99.20634921,65.58441558,
空港新城江宁,S7,118.887659,31.737687,48.97959184,13.63636364,
柘塘,S7,118.937897,31.75674,52.38095238,13.63636364,
空港新城溧水站,S7,118.98925,31.733816,56.00907029,13.63636364,
群力,S7,119.014396,31.720852,59.63718821,13.63636364,
卧龙湖,S7,119.04329,31.686304,62.81179138,12.98701299,
溧水,S7,119.04456,31.662698,64.62585034,10.82251082,
中山湖,S7,119.045275,31.646761,66.09977324,8.982683983,
幸庄,S7,119.046113,31.624602,67.68707483,7.142857143,
无想山,S7,119.046528,31.611448,69.27437642,5.194805195,
泰山新村,S8,118.716268,32.144295,26.53061224,83.22510823,
泰冯路,S8,118.718931,32.153441,27.09750567,85.71428571,
高新开发区,S8,118.719487,32.177538,31.29251701,89.5021645,
信息工程大学,S8,118.726862,32.202394,35.37414966,92.53246753,
卸甲甸,S8,118.730587,32.214756,41.26984127,92.53246753,
大厂,S8,118.740131,32.228848,46.93877551,92.53246753,
葛塘,S8,118.753717,32.244525,51.70068027,92.53246753,
长芦,S8,118.776599,32.273454,55.44217687,92.53246753,
化工园,S8,118.78556,32.28538,57.93650794,92.53246753,
六合开发区,S8,118.805296,32.305162,60.99773243,92.53246753,
龙池,S8,118.82015,32.319014,64.05895692,92.53246753,
雄州,S8,118.836662,32.33461,67.80045351,95.23809524,
凤凰山公园,S8,118.845116,32.346842,71.99546485,96.64502165,
方州广场,S8,118.850115,32.359539,76.30385488,96.64502165,
沈桥,S8,118.891854,32.399891,80.72562358,96.64502165,
八百桥,S8,118.933243,32.42705,85.26077098,96.64502165,
金牛湖,S8,118.964583,32.465377,89.569161,96.64502165,
翔宇路南,S9,118.829201,31.754866,40.47619048,14.5021645,
铜山,S9,118.881885,31.696082,40.58956916,11.7965368,
石湫,S9,118.90738,31.640387,40.58956916,9.74025974,
明觉,S9,118.902178,31.546324,40.58956916,7.683982684,
团结圩,S9,118.887696,31.395788,40.58956916,5.519480519,
高淳,S9,118.877193,31.340956,40.58956916,2.705627706,
