name,address,经度,纬度
八卦洲大桥南,1,118.842255,32.145568
笆斗山,1,118.829597,32.143424
燕子矶,1,118.821914,32.136112
吉祥庵,1,118.821339,32.126634
晓庄,1,118.818517,32.117229
迈皋桥,1,118.809677,32.102712
红山动物园,1,118.802053,32.095774
南京站,1,118.796509,32.089322
新模范马路,1,118.783714,32.079871
玄武门,1,118.784221,32.070381
鼓楼,1,118.783701,32.058667
珠江路,1,118.784692,32.054811
新街口,1,118.784148,32.041833
张府园,1,118.783837,32.030966
三山街,1,118.781583,32.023021
中华门,1,118.774447,32.006748
安德门,1,118.762136,31.990862
天隆寺,1,118.763131,31.979272
软件大道,1,118.780883,31.992722
花神庙,1,118.785648,31.977795
南京南站,1,118.796894,31.971094
双龙大道,1,118.817196,31.963833
河定桥,1,118.820141,31.952092
胜太路,1,118.821393,31.943549
百家湖,1,118.820843,31.931941
小龙湾,1,118.832734,31.929735
竹山路,1,118.845709,31.931865
天印大道,1,118.863561,31.937638
龙眠大道,1,118.877156,31.939902
南医大·江苏经贸学院站,1,118.890239,31.933475
南京交院,1,118.904804,31.91286
中国药科大学,1,118.914127,31.897684
经天路,2,118.976654,32.116151
南大仙林校区,2,118.95951,32.108763
羊山公园,2,118.939971,32.1038
仙林中心,2,118.930412,32.098663
学则路,2,118.916778,32.09128
仙鹤门,2,118.904914,32.084911
金马路,2,118.906302,32.071737
马群,2,118.894721,32.049649
钟灵街,2,118.869395,32.039146
孝陵卫,2,118.858058,32.035416
下马坊,2,118.848373,32.037578
苜蓿园,2,118.83531,32.040239
明故宫,2,118.819746,32.039218
西安门,2,118.805761,32.040108
大行宫,2,118.794754,32.041787
新街口,2,118.784148,32.041833
上海路,2,118.776444,32.04227
汉中门,2,118.76708,32.042725
莫愁湖,2,118.758964,32.037306
云锦路,2,118.747323,32.034912
集庆门大街,2,118.75473,32.024423
兴隆大街,2,118.736465,32.015197
奥体东,2,118.729086,32.005077
元通,2,118.721449,31.995471
雨润大街,2,118.722613,31.983679
油坊桥,2,118.721361,31.966454
螺塘路,2,118.7017,31.961404
青莲街,2,118.691716,31.962351
天保街,2,118.678564,31.965968
鱼嘴,2,118.669853,31.96673
林场,3,118.671334,32.163563
星火路,3,118.696577,32.157273
东大成贤学院,3,118.707888,32.156266
泰冯路,3,118.718931,32.153441
天润城,3,118.734078,32.150854
柳洲东路,3,118.746237,32.139965
上元门,3,118.769921,32.115468
五塘广场,3,118.777688,32.1105
小市,3,118.785737,32.094998
南京站,3,118.796509,32.089322
南京林业大学·新庄,3,118.810435,32.076463
鸡鸣寺,3,118.798082,32.057266
浮桥,3,118.796107,32.04866
大行宫,3,118.794787,32.041737
常府街,3,118.792317,32.033401
夫子庙,3,118.790911,32.024119
武定门,3,118.794632,32.013747
雨花门,3,118.792454,32.003779
卡子门,3,118.795514,31.995041
大明路,3,118.799624,31.986114
明发广场,3,118.800512,31.97705
南京南站,3,118.796894,31.971094
宏运大道,3,118.804067,31.959019
胜太西路,3,118.807434,31.943772
天元西路,3,118.808591,31.927697
九龙湖,3,118.821263,31.915939
诚信大道,3,118.831717,31.909256
东大九龙湖校区,3,118.83045,31.896037
秣周东路,3,118.831022,31.868977
龙江,4,118.73805,32.057926
南艺·二师·草场,4,118.754231,32.06008
云南路,4,118.774679,32.059117
鼓楼,4,118.783701,32.058667
鸡鸣寺,4,118.798082,32.057266
九华山,4,118.806,32.057314
岗子村,4,118.815835,32.065571
蒋王庙,4,118.831148,32.077536
王家湾,4,118.837855,32.085238
聚宝山,4,118.864212,32.093858
苏宁总部·徐庄,4,118.888192,32.089503
汇通路,4,118.931631,32.078018
灵山,4,118.943672,32.077698
东流,4,118.964224,32.077173
孟北,4,118.98724,32.084468
西岗桦墅,4,118.996482,32.098965
仙林湖,4,118.992658,32.125509
仙新路,7,118.901908,32.133074
尧化门,7,118.89429,32.128793
尧化新村,7,118.875715,32.115239
丁家庄南,7,118.859908,32.107659
丁家庄,7,118.849892,32.111546
万寿,7,118.834652,32.119539
晓庄,7,118.818517,32.117229
幕府山,7,118.798662,32.114303
五塘广场,7,118.784102,32.116719
幕府西路,7,118.771274,32.105533
钟阜路,7,118.771912,32.09222
福建路,7,118.759615,32.080126
古平岗,7,118.757933,32.071226
南艺·二师·草场,7,118.754231,32.06008
清凉山,7,118.760168,32.048316
莫愁湖,7,118.758964,32.037306
大市茶亭,7,118.757333,32.031757
南湖,7,118.754317,32.023787
应天大街,7,118.749161,32.016428
梦都大街东,7,118.746448,32.003936
新城科技园,7,118.738239,31.993694
中胜,7,118.73317,31.987911
嘉陵江东街,7,118.727853,31.982159
永初路,7,118.712185,31.974264
太清路,7,118.703159,31.966395
螺塘路,7,118.7017,31.961404
西善桥,7,118.690861,31.947161
安德门,10,118.762136,31.990862
小行,10,118.780883,31.992722
中胜,10,118.73317,31.987911
元通,10,118.721449,31.995471
奥体中心,10,118.718286,32.009065
梦都大街,10,118.721781,32.015473
绿博园,10,118.716735,32.024161
江心洲,10,118.703335,32.031632
临江路,10,118.680331,32.079095
浦口万汇城,10,118.657082,32.061689
南京工业大学,10,118.648245,32.066794
龙华路,10,118.635204,32.064712
文德路,10,118.626645,32.057396
雨山路,10,118.615125,32.044496
南京南站,S1,118.796894,31.971094
翠屏山,S1,118.784514,31.94253
佛城西路,S1,118.791365,31.914086
吉印大道,S1,118.795507,31.886166
正方中路,S1,118.805809,31.845115
翔宇路北,S1,118.821542,31.791284
翔宇路南,S1,118.829201,31.754866
禄口机场,S1,118.873817,31.73037
空港新城江宁,S1,118.887659,31.737687
高家冲,S3,118.517253,31.909242
林山,S3,118.531084,31.918826
桥林新城,S3,118.547446,31.929882
石碛河,S3,118.558049,31.938032
双垅,S3,118.567483,31.948288
兰花塘,S3,118.574859,31.95826
马骡圩,S3,118.58838,31.97315
刘村,S3,118.665113,31.944342
天保,S3,118.67741,31.953164
高庙路,S3,118.688338,31.968334
吴侯街,S3,118.693035,31.975465
平良大街,S3,118.702696,31.97783
永初路,S3,118.712185,31.974264
油坊桥,S3,118.721361,31.966454
贾西,S3,118.734119,31.959242
春江路,S3,118.748257,31.962385
铁心桥,S3,118.780883,31.992722
景明佳园,S3,118.77869,31.962302
南京南站,S3,118.796894,31.971094
马群,S6,118.894721,32.049649
百水桥,S6,118.915069,32.053407
麒麟门,S6,118.928506,32.053061
东郊小镇,S6,118.952496,32.051792
古泉,S6,119.009178,32.049302
猿人洞,S6,119.052783,32.06142
汤山,S6,119.067994,32.048019
泉都大街,S6,119.05207,32.033838
黄梅,S6,119.115152,32.010309
童世界,S6,119.170121,31.998074
华阳,S6,119.186782,31.978643
崇明,S6,119.18525,31.949757
句容,S6,119.176287,31.928595
空港新城江宁,S7,118.887659,31.737687
柘塘,S7,118.937897,31.75674
空港新城溧水站,S7,118.98925,31.733816
群力,S7,119.014396,31.720852
卧龙湖,S7,119.04329,31.686304
溧水,S7,119.04456,31.662698
中山湖,S7,119.045275,31.646761
幸庄,S7,119.046113,31.624602
无想山,S7,119.046528,31.611448
泰山新村,S8,118.716268,32.144295
泰冯路,S8,118.718931,32.153441
高新开发区,S8,118.719487,32.177538
信息工程大学,S8,118.726862,32.202394
卸甲甸,S8,118.730587,32.214756
大厂,S8,118.740131,32.228848
葛塘,S8,118.753717,32.244525
长芦,S8,118.776599,32.273454
化工园,S8,118.78556,32.28538
六合开发区,S8,118.805296,32.305162
龙池,S8,118.82015,32.319014
雄州,S8,118.836662,32.33461
凤凰山公园,S8,118.845116,32.346842
方州广场,S8,118.850115,32.359539
沈桥,S8,118.891854,32.399891
八百桥,S8,118.933243,32.42705
金牛湖,S8,118.964583,32.465377
翔宇路南,S9,118.829201,31.754866
铜山,S9,118.881885,31.696082
石湫,S9,118.90738,31.640387
明觉,S9,118.902178,31.546324
团结圩,S9,118.887696,31.395788
高淳,S9,118.877193,31.340956
